timestamp,ticker,side,entry_price,exit_price,pnl_pct,hold_time_minutes
2026-04-15T13:40:00+00:00,SOL/USDT,long,83.28,83.63,0.4203,15.0
2026-04-15T14:15:00+00:00,SOL/USDT,short,84.04,83.98,0.0714,70.0
2026-04-15T16:15:00+00:00,SOL/USDT,short,84.61,84.54,0.0827,85.0
2026-04-15T19:30:00+00:00,SOL/USDT,short,85.39,85.08,0.363,35.0
2026-04-15T22:05:00+00:00,SOL/USDT,short,85.38,84.9,0.5622,55.0
2026-04-16T02:25:00+00:00,SOL/USDT,short,85.15,85.23,-0.094,95.0
2026-04-16T04:45:00+00:00,SOL/USDT,long,85.12,85.34,0.2585,35.0
2026-04-16T07:50:00+00:00,SOL/USDT,long,85.15,85.2,0.0587,80.0
2026-04-16T09:20:00+00:00,SOL/USDT,short,85.45,85.2,0.2926,35.0
2026-04-16T10:15:00+00:00,SOL/USDT,long,84.64,85.21,0.6734,20.0
2026-04-16T12:10:00+00:00,SOL/USDT,short,85.39,84.05,1.5693,100.0
2026-04-16T13:50:00+00:00,SOL/USDT,long,84.05,85.34,1.5348,55.0
2026-04-16T18:15:00+00:00,SOL/USDT,short,87.55,89.44,-2.1588,140.0
2026-04-16T21:20:00+00:00,SOL/USDT,long,88.99,89.14,0.1686,80.0
2026-04-17T00:25:00+00:00,SOL/USDT,long,88.67,88.93,0.2932,40.0
2026-04-17T01:20:00+00:00,SOL/USDT,long,88.38,87.81,-0.6449,145.0
2026-04-17T04:30:00+00:00,SOL/USDT,short,88.15,87.79,0.4084,30.0
2026-04-17T08:20:00+00:00,SOL/USDT,short,88.58,88.53,0.0564,70.0
2026-04-17T10:25:00+00:00,SOL/USDT,long,87.84,88.2,0.4098,65.0
2026-04-17T12:45:00+00:00,SOL/USDT,short,88.72,89.68,-1.0821,135.0
2026-04-17T17:20:00+00:00,SOL/USDT,long,89.23,89.36,0.1457,115.0
2026-04-17T20:30:00+00:00,SOL/USDT,long,88.66,89.15,0.5527,40.0
2026-04-17T23:15:00+00:00,SOL/USDT,long,88.57,88.92,0.3952,60.0
2026-04-18T01:15:00+00:00,SOL/USDT,short,89.13,88.79,0.3815,20.0
2026-04-18T03:50:00+00:00,SOL/USDT,long,88.33,88.56,0.2604,75.0
2026-04-18T08:00:00+00:00,SOL/USDT,long,88.27,87.66,-0.6911,90.0
2026-04-18T10:05:00+00:00,SOL/USDT,long,87.05,86.83,-0.2527,115.0
2026-04-18T18:15:00+00:00,SOL/USDT,long,86.51,86.13,-0.4393,100.0
2026-04-18T22:00:00+00:00,SOL/USDT,long,86.0,86.18,0.2093,25.0
2026-04-19T00:30:00+00:00,SOL/USDT,long,85.99,85.74,-0.2907,130.0
2026-04-19T04:40:00+00:00,SOL/USDT,long,85.35,85.75,0.4687,50.0
2026-04-19T07:05:00+00:00,SOL/USDT,long,85.12,84.84,-0.3289,115.0
